,BuildingID,ViolationID
20093,326263,140
14415,26984,140
23540,352378,140
46669,806244,140
13814,258822,140
24292,358408,140
7834,185955,140
5293,146094,139
14618,27312,139
38631,60873,139
53009,92689,139
1245,109460,139
591,104343,139
11802,228366,139
47077,807750,139
21659,3394,139
48401,815232,139
48079,811258,139
31647,43371,138
13007,244894,138
11114,221450,138
42657,687226,138
5668,150896,138
31183,42984,138
32388,445338,138
49447,839939,138
51314,88751,137
9335,205999,137
49204,832306,137
2042,115647,137
43974,71553,137
8631,196320,137
36588,55130,137
41731,67195,136
1177,109334,136
667,104592,136
55960,97534,136
30852,427305,136
50458,87234,136
36586,55124,136
41231,66439,136
3300,122113,136
22146,343427,136
27096,379676,135
18382,309459,135
16060,287829,135
15093,27990,135
48685,81891,135
17393,301102,135
8016,187705,135
14791,27572,135
9325,205958,135
21181,335712,135
1287,109542,135
45949,80073,135
1227,109439,135
53557,933956,135
22787,347548,135
21023,334598,135
24613,360624,134
2288,116839,134
27431,382,134
25024,3638,134
41338,66676,134
3192,121240,134
36709,55433,134
52446,90978,134
48282,812536,134
26191,374044,134
2923,119859,134
20237,327079,133
3409,122960,133
15264,28169,133
31109,42926,133
16021,287723,133
41305,66589,133
47407,808871,133
47549,809315,133
40824,65858,133
27585,383420,133
20291,327376,133
2013,115531,132
29612,413252,132
34236,49401,132
34732,505910,132
18789,313213,132
48577,81766,132
41554,66884,132
31433,43205,132
48666,81871,132
44389,73731,131
41996,67520,131
14504,270941,131
45284,77973,131
13483,25225,131
24791,362422,131
5180,144664,131
25936,372488,131
45220,77656,131
14775,27553,131
8811,19867,130
54083,94280,130
16059,287823,130
14009,26291,130
15761,285024,130
3117,120927,130
46859,806759,130
38213,59830,130
5995,156599,130
34753,506654,130
35521,52049,130
41294,665679,130
37302,56980,129
11091,221329,129
45359,78278,129
22557,346587,129
791,106301,129
47685,809817,129
2356,117026,129
52719,91601,129
26174,373997,129
44325,73393,129
45020,769128,129
2749,119068,129
53191,929108,129
15518,28338,129
22532,346419,128
56016,97603,128
3492,123620,128
41049,66206,128
3225,121353,128
14532,271619,128
36194,5388,128
46621,806012,128
42332,68178,128
48642,818485,128
4638,135157,128
8065,188177,128
5877,154248,128
51502,89073,128
2076,115748,127
21729,339821,127
