,BORO,bbl,price_per_blgd,TOTAL INCOME FROM REAL ESTATE,TOTAL EXPENSES,cap rate
0,1,1002800054,7000000,802910.0,185578.0,0.08819028571428572
1,1,1004000042,2500000,98406.0,89730.0,0.0034704
2,1,1004010013,3950000,281610.0,83456.0,0.05016556962025316
3,1,1004070054,2800000,222461.0,230041.0,-0.002707142857142857
4,1,1004090003,9080000,349530.0,148392.0,0.022151762114537444
5,1,1004180047,5350000,367698.0,195124.0,0.032256822429906545
6,1,1004350011,8500000,371827.0,604802.0,-0.027408823529411763
7,1,1004600019,4000000,135709.0,63412.0,0.01807425
8,1,1004630017,8475000,358884.0,298590.0,0.007114336283185841
9,1,1004630049,4675000,196732.0,99177.0,0.020867379679144385
10,1,1004710017,6225000,311137.0,172312.0,0.02230120481927711
11,1,1005070012,8000000,280683.0,205146.0,0.009442125
12,1,1005250032,11000000,744581.0,298558.0,0.040547545454545454
13,1,1006100060,92600000,5075867.0,1916148.0,0.034122235421166304
14,1,1008580008,380600000,21035454.0,18300930.0,0.007184771413557541
15,1,1008840048,11000000,4632779.0,2081792.0,0.23190790909090908
16,1,1009110064,2906950,2918085.0,995340.0,0.6614303651593595
17,1,1010750049,4000000,302948.0,154784.0,0.037041
18,1,1011220019,6060000,388110.0,55712.0,0.05485115511551155
19,1,1011460061,37750000,2265703.0,1329506.0,0.024799920529801324
20,1,1012000002,11400000,1386449.0,107011.0,0.11223140350877193
21,1,1012020019,5595000,24000.0,52661.0,-0.005122609472743521
22,1,1012050022,20000000,1007974.0,524773.0,0.02416005
23,1,1012110003,6350000,136554.0,82694.0,0.008481889763779527
24,1,1013430036,66248000,2680861.0,1476913.0,0.018173348629392586
25,1,1013470001,7100000,276862.0,123122.0,0.021653521126760562
26,1,1013980014,5750000,340985.0,110291.0,0.04012069565217391
27,1,1014140013,17500000,1002403.0,228766.0,0.04420782857142857
28,1,1014300002,5000000,1475566.0,1590649.0,-0.0230166
29,1,1014400019,5504500,366974.0,85625.0,0.05111254428195113
30,1,1014400020,4595500,365130.0,101529.0,0.05736067892503536
31,1,1014460004,5975000,245518.0,82953.0,0.027207531380753137
32,1,1014500012,5250000,442111.0,141517.0,0.057256
33,1,1014530010,3700000,353213.0,269897.0,0.022517837837837836
34,1,1014670144,2800000,61410.0,34746.0,0.009522857142857144
35,1,1014690030,2875000,2432532.0,1786267.0,0.22478782608695652
36,1,1014840049,7800000,447628.0,125376.0,0.04131435897435897
37,1,1014840051,6050000,256029.0,77970.0,0.02943123966942149
38,1,1015210064,27250000,1154346.0,523661.0,0.02314440366972477
39,1,1015290037,10192849,464062.0,104844.0,0.03524215849758983
40,1,1015480148,3500000,276535.0,83330.0,0.05520142857142857
41,1,1015490024,14500000,1437768.0,377343.0,0.07313275862068966
42,1,1015510045,4500000,308000.0,102488.0,0.04566933333333333
43,1,1015520038,4525000,347181.0,153677.0,0.04276331491712707
44,1,1015550001,8000000,858837.0,246133.0,0.076588
45,1,1015640021,2450000,193626.0,173350.0,0.00827591836734694
46,1,1015640037,3185000,255042.0,125231.0,0.040756985871271585
47,1,1015640038,3920000,282943.0,272973.0,0.0025433673469387754
48,1,1015710002,617310,218174.0,147250.0,0.11489203155626833
49,1,1015770027,67000000,3019147.0,1407867.0,0.0240489552238806
50,1,1015790040,2695000,159572.0,84125.0,0.02799517625231911
51,1,1015790137,5289000,292160.0,246566.0,0.008620533182076007
52,1,1016330033,4500000,378264.0,94096.0,0.06314844444444444
53,1,1017270006,5150000,455268.0,313109.0,0.02760368932038835
54,1,1018770018,10000000,868694.0,424067.0,0.0444627
55,1,1019400055,2750000,265281.0,149329.0,0.04216436363636364
56,1,1019870029,5925000,343752.0,279068.0,0.010917130801687764
57,1,1019880123,8425000,826688.0,402312.0,0.05037103857566765
58,1,1019940062,15800000,1178402.0,469081.0,0.04489373417721519
59,1,1020670036,5100000,502657.0,275281.0,0.04458352941176471
60,1,1021750100,7850000,694932.0,371052.0,0.04125859872611465
61,1,1021770218,10150000,857785.0,428550.0,0.04228916256157635
62,2,2022920037,11250000,979416.0,815472.0,0.0145728
63,2,2028080009,3800000,412418.0,308065.0,0.027461315789473684
64,2,2028080062,12480000,1112043.0,454549.0,0.052683814102564105
65,2,2028970127,5000000,509943.0,327277.0,0.0365332
66,2,2029270014,1800000,194043.0,126470.0,0.037540555555555556
67,2,2030020047,3700000,439600.0,221416.0,0.05896864864864865
68,2,2030500070,4463828,1058405.0,588764.0,0.10521037100891881
69,2,2031030020,6250000,687184.0,435243.0,0.04031056
70,2,2031560027,11500000,1088416.0,555507.0,0.04633991304347826
71,2,2032730321,5500000,548322.0,362376.0,0.033808363636363636
