BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Gov't Rent Subsidies Income,TOTAL INCOME FROM REAL ESTATE,TOTAL EXPENSES
1018650020,"$17,525,406",$0,"$17,525,406",$0,$0,$0,"$18,289,445","$5,718,443"
1016750047,"$17,413,758",$0,"$17,413,758",$0,$0,$0,"$17,413,758","$95,945"
1007010016,"$17,083,878",$0,"$17,083,878",$0,"$234,320",$0,"$18,269,745","$4,510,310"
1015710022,"$17,061,199","$436,500","$17,497,699","$12,640",$0,$0,"$18,422,394","$7,781,378"
1015710022,"$17,061,199","$436,500","$17,497,699","$12,640",$0,$0,"$18,422,394","$7,781,378"
1007750044,"$16,550,204",$0,"$16,550,204",$0,"$3,731,886",$0,"$21,468,316","$5,376,869"
1007750044,"$16,550,204",$0,"$16,550,204",$0,"$3,731,886",$0,"$21,468,316","$5,376,869"
1011520013,"$16,319,768",$0,"$16,319,768","$233,560","$208,790",$0,"$17,325,763","$4,547,672"
4000061001,"$16,120,055",$0,"$16,120,055",$0,"$973,146",$0,"$19,164,276","$5,355,438"
1000560004,"$16,027,448",$0,"$16,027,448",$0,"$133,911","$351,618","$17,050,505","$3,729,257"
1011710133,"$15,860,220",$0,"$15,860,220",$0,"$841,310",$0,"$17,311,395","$4,282,008"
1006950015,"$15,203,684",$0,"$15,203,684",$0,"$1,712,780",$0,"$17,285,316","$5,629,217"
3021101001,"$15,145,969",$0,"$15,145,969",$0,"$5,103,000",$0,"$21,347,413","$5,075,728"
1010840025,"$14,990,724",$0,"$14,990,724",$0,"$3,393,986",$0,"$19,754,954","$6,485,888"
1011710052,"$14,979,316",$0,"$14,979,316",$0,"$1,900,492","$56,209","$18,342,977","$6,661,786"
4004250001,"$14,957,266",$0,"$14,957,266",$0,$0,$0,"$15,401,787","$4,724,787"
4004130002,"$14,938,850",$0,"$14,938,850",$0,"$371,163",$0,"$15,785,065","$4,386,986"
1010251201,"$14,586,381",$0,"$14,586,381",$0,"$1,769,211",$0,"$17,247,505","$4,080,752"
1008391101,"$14,522,221",$0,"$14,522,221","$2,025,142","$111,250",$0,"$17,820,141","$5,433,686"
1007141132,"$14,430,269",$0,"$14,430,269",$0,"$2,159,116",$0,"$19,254,472","$5,377,906"
1007000027,"$14,377,196",$0,"$14,377,196",$0,$0,$0,"$14,714,574","$3,378,153"
1009340001,"$14,359,653","$27,107,956","$41,467,609",$0,"$1,905,576",$0,"$46,410,041","$21,294,443"
1017600001,"$14,283,322","$5,378,104","$19,661,426",$0,"$90,747","$210,413","$20,173,401","$11,936,887"
1017600001,"$14,283,322","$5,378,104","$19,661,426",$0,"$90,747","$210,413","$20,173,401","$11,936,887"
1010260017,"$14,201,712",$0,"$14,201,712",$0,"$820,269","$113,946","$16,317,327","$5,244,980"
1014550021,"$13,996,084",$0,"$13,996,084",$0,$0,$0,"$14,692,209","$5,046,404"
1010700029,"$13,867,482",$0,"$13,867,482",$0,"$903,945",$0,"$15,883,106","$5,936,730"
4076720002,"$13,825,648",$0,"$13,825,648",$0,$0,"$103,679","$14,593,638","$5,069,913"
4076600002,"$13,825,646",$0,"$13,825,646",$0,$0,"$103,679","$14,593,638","$5,069,913"
4076580002,"$13,825,646",$0,"$13,825,646",$0,$0,"$103,679","$14,593,638","$5,069,913"
4076440002,"$13,825,646",$0,"$13,825,646",$0,$0,"$103,679","$14,593,638","$5,069,913"
1011710148,"$13,757,318",$0,"$13,757,318",$0,"$1,175,075",$0,"$15,400,106","$4,603,288"
1005659021,"$13,499,979",$0,"$13,499,979",$0,$0,$0,"$14,021,537","$4,188,763"
1015630004,"$13,419,507",$0,"$13,419,507",$0,"$720,464",$0,"$14,496,076","$5,130,870"
1011580012,"$13,279,166",$0,"$13,279,166",$0,"$526,823",$0,"$14,158,505","$2,502,347"
1012421242,"$13,042,678",$0,"$13,042,678",$0,"$2,809,141",$0,"$16,351,892","$5,431,028"
1007950001,"$13,034,019",$0,"$13,034,019",$0,"$1,206,715","$79,460","$15,101,193","$4,055,206"
3000361306,"$12,979,665",$0,"$12,979,665",$0,"$1,890,563",$0,"$16,547,503","$4,025,532"
1011710129,"$12,856,138","$8,660,050","$21,516,188",$0,"$1,218,758",$0,"$24,401,793","$5,951,899"
1002240001,"$12,808,371",$0,"$12,808,371",$0,"$406,225",$0,"$14,410,703","$3,627,265"
1016250016,"$12,754,551",$0,"$12,754,551",$0,"$1,085,669",$0,"$14,572,427","$3,423,605"
3001220013,"$12,673,881",$0,"$12,673,881",$0,"$351,033",$0,"$13,260,043","$6,962,596"
1007210007,"$12,315,500","$21,906,859","$34,222,359","$1,962,306",$0,"$76,569","$38,359,411","$16,062,706"
3002771005,"$12,250,000",$0,"$12,250,000","$1,520,075",$0,$0,"$15,277,440","$3,961,202"
1010811107,"$12,131,475",$0,"$12,131,475",$0,"$417,419",$0,"$13,203,526","$3,426,649"
1010330009,"$12,063,945",$0,"$12,063,945",$0,"$2,419,979",$0,"$14,568,771","$7,629,874"
4029740060,"$12,048,050",$0,"$12,048,050",$0,$0,$0,"$12,357,684","$6,999,772"
1000420001,"$11,648,550",$0,"$11,648,550",$0,"$1,541,250",$0,"$13,869,273","$3,147,470"
1012010034,"$11,427,271",$0,"$11,427,271","$750,007",$0,$0,"$12,226,169","$4,073,285"
1008331101,"$11,398,325",$0,"$11,398,325",$0,$0,$0,"$11,605,349","$3,785,420"
3020940010,"$11,284,523",$0,"$11,284,523",$0,"$286,247",$0,"$11,976,447","$3,686,373"
1008010034,"$11,232,275",$0,"$11,232,275","$316,680","$976,301",$0,"$12,764,903","$3,393,791"
1007901102,"$11,226,736",$0,"$11,226,736",$0,$0,$0,"$11,284,732","$3,797,595"
4020801002,"$11,117,533",$0,"$11,117,533",$0,$0,$0,"$12,063,901","$4,756,256"
1005842101,"$11,059,333",$0,"$11,059,333",$0,"$194,630",$0,"$11,755,986","$2,940,504"
1010821009,"$10,891,681",$0,"$10,891,681",$0,$0,$0,"$11,150,236","$3,440,709"
3021081102,"$10,682,322",$0,"$10,682,322",$0,$0,$0,"$11,074,532","$3,767,007"
1010801001,"$10,607,319",$0,"$10,607,319",$0,"$253,150",$0,"$11,194,230","$2,846,889"
1011714305,"$10,593,814",$0,"$10,593,814",$0,$0,$0,"$10,933,434","$3,054,973"
1011690048,"$10,529,305",$0,"$10,529,305",$0,"$3,931,928",$0,"$14,545,682","$4,535,555"
1011690048,"$10,529,305",$0,"$10,529,305",$0,"$3,931,928",$0,"$14,545,682","$4,535,555"
1009440045,"$10,428,196",$0,"$10,428,196",$0,"$1,004,883",$0,"$11,733,033","$2,924,258"
1009440045,"$10,428,196",$0,"$10,428,196",$0,"$1,004,883",$0,"$11,733,033","$2,924,258"
1009390028,"$10,403,037","$211,229","$10,614,266",$0,"$2,060,002",$0,"$12,911,398","$5,319,850"
3035900011,"$10,298,465",$0,"$10,298,465",$0,"$405,570",$0,"$10,813,692","$5,271,199"
3035900011,"$10,298,465",$0,"$10,298,465",$0,"$405,570",$0,"$10,813,692","$5,271,199"
3035900011,"$10,298,465",$0,"$10,298,465",$0,"$405,570",$0,"$10,813,692","$5,271,199"
1010511003,"$10,023,708",$0,"$10,023,708",$0,$0,$0,"$10,023,708","$4,150,099"
3001340001,"$9,952,654",$0,"$9,952,654",$0,"$142,691",$0,"$10,394,595","$6,020,076"
1010680003,"$9,687,166","$20,369,989","$30,057,155","$2,675,283","$3,171,773",$0,"$38,391,612","$13,500,357"
1004560007,"$9,566,824",$0,"$9,566,824",$0,"$1,100,812",$0,"$11,678,575","$3,229,327"
1008780038,"$9,349,760",$0,"$9,349,760",$0,"$592,168",$0,"$10,115,551","$2,761,772"
1008890055,"$9,080,308",$0,"$9,080,308",$0,"$66,250",$0,"$9,256,782","$4,309,393"
4068090001,"$9,037,038",$0,"$9,037,038",$0,"$236,747","$36,035","$9,908,598","$4,911,200"
1010821007,"$8,967,931",$0,"$8,967,931",$0,$0,$0,"$9,907,577","$3,140,496"
1010330001,"$8,859,778",$0,"$8,859,778",$0,"$1,940,577",$0,"$11,131,352","$4,070,199"
1011631304,"$8,857,021",$0,"$8,857,021",$0,$0,$0,"$8,895,923","$2,972,991"
1007345037,"$8,639,426",$0,"$8,639,426",$0,"$78,599",$0,"$9,396,122","$2,298,232"
4031750001,"$8,563,474","$27,215,306","$35,778,780","$983,343",$0,$0,"$40,281,526","$17,990,731"
1000690006,"$8,463,725",$0,"$8,463,725",$0,"$1,425,436",$0,"$10,337,320","$2,009,533"
4097100037,"$8,422,224",$0,"$8,422,224",$0,$0,"$239,565","$9,128,360","$4,795,438"
1010731101,"$8,395,673",$0,"$8,395,673",$0,$0,$0,"$8,608,903","$3,003,227"
1006420004,"$8,281,067",$0,"$8,281,067",$0,$0,$0,"$8,425,377","$4,170,022"
1010830029,"$8,034,475",$0,"$8,034,475",$0,"$799,226",$0,"$9,587,072","$2,200,811"
1010830029,"$8,034,475",$0,"$8,034,475",$0,"$799,226",$0,"$9,587,072","$2,200,811"
3020610110,"$8,000,816",$0,"$8,000,816",$0,"$530,058",$0,"$9,035,675","$2,796,099"
1015570025,"$7,929,757",$0,"$7,929,757",$0,"$207,114",$0,"$8,391,544","$3,924,150"
4000051101,"$7,929,337",$0,"$7,929,337",$0,"$172,975",$0,"$8,261,187","$2,360,260"
1018720043,"$7,860,690",$0,"$7,860,690","$14,160","$756,350","$3,541","$8,800,220","$3,264,979"
1001421001,"$7,804,574",$0,"$7,804,574",$0,$0,$0,"$8,328,713","$2,919,466"
4015100020,"$7,654,012",$0,"$7,654,012",$0,$0,$0,"$7,889,314","$5,088,701"
1018331601,"$7,497,440",$0,"$7,497,440",$0,$0,$0,"$7,579,196","$1,526,578"
4155450001,"$7,393,797",$0,"$7,393,797",$0,$0,$0,"$7,660,732","$5,315,698"
1015710049,"$7,307,582",$0,"$7,307,582",$0,"$250,290",$0,"$7,595,156","$2,292,972"
1018960043,"$7,265,638",$0,"$7,265,638","$16,800",$0,$0,"$7,405,974","$3,437,262"
3024820026,"$7,109,715",$0,"$7,109,715",$0,"$521,524",$0,"$8,000,823","$3,179,561"
1006410017,"$6,986,444",$0,"$6,986,444",$0,$0,$0,"$7,093,472","$2,069,372"
2059500429,"$6,866,825",$0,"$6,866,825",$0,$0,"$110,022","$7,300,067","$2,788,428"
2059500429,"$6,866,825",$0,"$6,866,825",$0,$0,"$110,022","$7,300,067","$2,788,428"
4097651002,"$6,836,465",$0,"$6,836,465",$0,"$1,385,870",$0,"$8,582,710","$3,246,572"
1011700012,"$6,748,826",$0,"$6,748,826",$0,"$2,082,079",$0,"$9,015,335","$4,419,258"
1008730040,"$6,722,141",$0,"$6,722,141",$0,"$950,000",$0,"$7,798,239","$2,581,501"
2031230056,"$6,524,989",$0,"$6,524,989",$0,"$136,637",$0,"$6,683,932","$4,216,534"
2031230056,"$6,524,989",$0,"$6,524,989",$0,"$136,637",$0,"$6,683,932","$4,216,534"
2031230056,"$6,524,989",$0,"$6,524,989",$0,"$136,637",$0,"$6,683,932","$4,216,534"
2031230056,"$6,524,989",$0,"$6,524,989",$0,"$136,637",$0,"$6,683,932","$4,216,534"
2031230056,"$6,524,989",$0,"$6,524,989",$0,"$136,637",$0,"$6,683,932","$4,216,534"
2031230056,"$6,524,989",$0,"$6,524,989",$0,"$136,637",$0,"$6,683,932","$4,216,534"
2031230056,"$6,524,989",$0,"$6,524,989",$0,"$136,637",$0,"$6,683,932","$4,216,534"
2031230056,"$6,524,989",$0,"$6,524,989",$0,"$136,637",$0,"$6,683,932","$4,216,534"
2031230056,"$6,524,989",$0,"$6,524,989",$0,"$136,637",$0,"$6,683,932","$4,216,534"
2031230056,"$6,524,989",$0,"$6,524,989",$0,"$136,637",$0,"$6,683,932","$4,216,534"
1016240015,"$6,490,607",$0,"$6,490,607",$0,"$1,203,365",$0,"$7,771,270","$2,640,884"
1018890001,"$6,455,374",$0,"$6,455,374",$0,$0,$0,"$6,504,322","$2,908,436"
1012400052,"$6,451,217",$0,"$6,451,217","$732,869","$1,584,000",$0,"$8,852,381","$3,344,087"
1006940039,"$6,352,680",$0,"$6,352,680",$0,"$1,375,000",$0,"$8,083,202","$1,640,538"
4031550027,"$6,301,596",$0,"$6,301,596",$0,"$28,175","$110,887","$6,742,435","$2,699,914"
4014900018,"$6,259,006","$442,491","$6,701,497","$113,930",$0,$0,"$7,084,799","$3,498,694"
3001491006,"$6,109,531",$0,"$6,109,531",$0,$0,$0,"$6,461,021","$3,268,371"
4051370005,"$6,085,483",$0,"$6,085,483","$123,845",$0,"$5,652","$6,686,492","$2,929,751"
