BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Units,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1,Total Expenses 
1018830040,"$281,502",$0,"$281,502",$0,0,$0,$0,$0,"$282,517",$0,"$212,901"
1020770053,"$281,415",$0,"$281,415",$0,0,$0,$0,$0,"$281,415","$18,000","$158,828"
1020770055,"$281,415",$0,"$281,415",$0,0,$0,$0,$0,"$281,415","$18,000","$158,828"
1020770057,"$281,415",$0,"$281,415",$0,0,$0,$0,$0,"$281,415","$18,000","$158,828"
1004610044,"$281,260",$0,"$281,260",$0,0,$0,$0,$0,"$281,260","$7,295","$108,706"
3073540036,"$281,241",$0,"$281,241",$0,0,"$33,428",$0,"$2,686","$317,355","$7,250","$202,704"
1019510014,"$281,140",$0,"$281,140",$0,0,"$154,785",$0,"$9,840","$445,765",$0,"$294,116"
2037390067,"$281,056",$0,"$281,056",$0,0,$0,$0,$0,"$281,056",$0,"$244,080"
1011210055,"$281,050",$0,"$281,050",$0,0,$0,$0,$0,"$281,050",$0,"$69,618"
1021680051,"$281,005",$0,"$281,005",$0,0,"$261,237",$0,"$11,826","$582,502",$0,"$261,890"
1010570029,"$281,000","$19,160","$300,160",$0,0,"$275,527",$0,$0,"$575,687",$0,"$139,104"
2028570081,"$280,951",$0,"$280,951",$0,0,"$61,695",$0,$0,"$342,646",$0,"$199,976"
4003690007,"$280,792",$0,"$280,792",$0,0,$0,$0,$0,"$280,792",$0,"$124,067"
1004680035,"$280,734",$0,"$280,734",$0,0,$0,$0,$0,"$280,734",$0,"$88,405"
1005200051,"$280,532",$0,"$280,532",$0,0,$0,"$33,492",$0,"$314,024",$0,"$172,264"
4096310222,"$280,418",$0,"$280,418",$0,0,$0,$0,$0,"$304,575",$0,"$131,157"
3051220062,"$280,415",$0,"$280,415",$0,0,$0,$0,$0,"$280,415",$0,"$251,404"
1014350039,"$280,390","$248,647","$529,037",$0,0,$0,$0,$0,"$529,037","$24,577","$173,508"
2033280130,"$280,270",$0,"$280,270",$0,0,"$17,769",$0,$0,"$298,039",$0,"$167,643"
1022430258,"$280,176",$0,"$280,176",$0,0,"$41,015",$0,$0,"$323,341",$0,"$243,561"
3013610043,"$280,107",$0,"$280,107",$0,0,$0,$0,"$433,593","$713,700",$0,"$325,179"
3013610056,"$280,107",$0,"$280,107",$0,0,$0,$0,"$433,593","$713,700",$0,"$325,179"
1022210039,"$280,078",$0,"$280,078",$0,0,$0,$0,$0,"$280,078",$0,"$174,629"
2039200024,"$280,064",$0,"$280,064",$0,0,"$52,644",$0,$0,"$332,708",$0,"$225,949"
2028790094,"$279,982",$0,"$279,982",$0,0,$0,$0,$0,"$279,982",$0,"$196,143"
1005050026,"$279,821","$22,000","$301,821",$0,0,$0,$0,$0,"$303,008",$0,"$86,006"
1015261201,"$279,808",$0,"$279,808",$0,0,$0,$0,$0,"$279,808",$0,"$132,756"
2028050045,"$279,807",$0,"$279,807",$0,0,$0,$0,"$50,891","$330,698",$0,"$162,153"
2032500087,"$279,800",$0,"$279,800",$0,0,$0,$0,"$53,400","$333,200",$0,"$224,400"
1021590024,"$279,745",$0,"$279,745",$0,0,$0,$0,$0,"$279,745",$0,"$209,188"
1007900055,"$279,742",$0,"$279,742",$0,0,$0,$0,$0,"$279,742","$15,515","$100,245"
1007450026,"$279,740",$0,"$279,740",$0,0,$0,$0,$0,"$361,289",$0,"$178,524"
1015550013,"$279,667",$0,"$279,667",$0,0,$0,$0,$0,"$279,667","$3,027","$108,057"
1004370020,"$279,650",$0,"$279,650",$0,0,$0,$0,$0,"$288,680",$0,"$225,405"
3011000050,"$279,618","$27,600","$307,218",$0,0,$0,$0,$0,"$307,263",$0,"$105,572"
2031730050,"$279,382",$0,"$279,382",$0,0,$0,$0,$0,"$279,382",$0,"$174,716"
3054380036,"$279,275",$0,"$279,275","$6,600",0,"$67,500",$0,"$2,470","$355,845",$0,"$154,575"
1014720031,"$279,235",$0,"$279,235",$0,0,$0,$0,$0,"$279,235",$0,"$185,997"
1015480005,"$279,227",$0,"$279,227",$0,0,$0,$0,$0,"$279,227","$8,090","$122,126"
2025170035,"$279,067",$0,"$279,067",$0,0,$0,$0,$0,"$279,067",$0,"$180,874"
1021430021,"$279,064",$0,"$279,064",$0,0,$0,$0,$0,"$279,064",$0,"$133,674"
1015450042,"$279,013",$0,"$279,013","$5,580",0,$0,$0,$0,"$284,593","$3,395","$83,709"
2039970030,"$278,850",$0,"$278,850",$0,0,$0,$0,$0,"$278,850",$0,"$166,692"
