BBL ,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Gov't Rent Subsidies Income,Total Real Estate Income,Total Expenses
3059910010,"$96,100",,"$96,100",,,,"$96,100","$51,237"
3061010026,"$452,645",,"$452,645",,,,"$452,645","$192,235"
3061570036,"$192,664",,"$192,664",,,,"$192,664","$64,029"
3063330001,"$573,889",,"$573,889",,,,"$573,889","$260,907"
3064140057,"$283,642",,"$283,642",,,,"$283,642","$83,860"
3064450035,"$194,300",,"$194,300",,,,"$194,300","$89,850"
3064610036,"$720,440",,"$720,440",,,,"$720,440","$302,311"
3064630012,"$1,270,000",,"$1,270,000",,,,"$1,270,000","$340,579"
3066530006,"$679,517",,"$679,517",,,"$55,265","$738,707","$523,293"
3072660009,"$476,852",,"$476,852",,,,"$476,852","$158,687"
3075780057,"$1,274,546",,"$1,274,546",,,,"$1,279,025","$675,651"
3076300046,"$150,300",,"$150,300",,,,"$150,300","$59,418"
2024780018,"$1,302,062",,"$1,302,062",,,"$158,802","$1,578,231","$861,854"
2024780018,"$1,302,062",,"$1,302,062",,,"$158,802","$1,578,231","$861,854"
2032750046,"$1,086,389",,"$1,086,389",,,"$69,445","$1,203,849","$686,536"
2032750046,"$1,086,389",,"$1,086,389",,,"$69,445","$1,203,849","$686,536"
2032750046,"$1,086,389",,"$1,086,389",,,"$69,445","$1,203,849","$686,536"
2032750046,"$1,086,389",,"$1,086,389",,,"$69,445","$1,203,849","$686,536"
2032750046,"$1,086,389",,"$1,086,389",,,"$69,445","$1,203,849","$686,536"
2032750046,"$1,086,389",,"$1,086,389",,,"$69,445","$1,203,849","$686,536"
2031030036,"$498,275",,"$498,275",,,"$98,855","$612,691","$319,642"
2031030036,"$498,275",,"$498,275",,,"$98,855","$612,691","$319,642"
5003390008,,"$42,800",42800,,"$30,250",,"$73,050","$20,109"
5003700067,"$28,800",,"$28,800",,,,"$28,800","$4,900"
4005310060,"$1,198,360",,"$1,198,360",,"$124,801",,"$1,323,161","$549,344"
4006200049,"$350,241","$15,750","$365,991",,,,"$365,991","$241,629"
4008850005,,"$67,550",67550,,,,"$67,550","$41,265"
4008850008,,"$68,505",68505,,,,"$68,505","$40,708"
4008850105,,"$59,800",59800,"$37,208",,,"$97,008","$52,021"
4008850106,,"$63,075",63075,,,,"$63,075","$52,579"
4022650086,"$539,490","$54,600","$594,090",,,,"$594,090","$315,904"
1005430019,"$59,632","$428,225","$487,857",,"$259,315",,"$747,172","$253,065"
4008460036,"$590,158",,"$590,158",,,,"$590,158","$202,380"
4013510094,,"$39,900",39900,,"$98,100",,"$138,000","$54,401"
4015030075,,"$66,000",66000,,"$18,700",,"$84,700","$16,716"
4015160055,"$310,191",,"$310,191",,,,"$310,191","$105,159"
4015570033,"$858,458",,"$858,458",,,,"$880,365","$248,341"
4024730031,"$1,649,407",,"$1,649,407",,,,"$1,649,407","$601,555"
4033660026,"$152,645",,"$152,645",,,,"$152,645","$53,972"
4036190072,,"$183,971",183971,,,,"$183,971","$48,261"
4036370050,,"$53,910",53910,,"$22,540",,"$76,450","$22,120"
4037090032,,"$36,545",36545,,,,"$98,595","$17,763"
4039640031,,"$31,500",31500,"$8,700","$45,600",,"$105,206","$51,035"
4040850049,,"$27,600",27600,,"$105,812",,"$133,412","$33,100"
4049540051,,"$105,050",105050,,,,"$105,050","$24,130"
4049540153,,"$76,050",76050,"$10,800",,,"$86,850","$16,241"
4049540156,,"$75,052",75052,"$10,200",,,"$85,252","$20,983"
4077800007,,"$22,800",22800,"$38,520",,,"$229,320","$21,171"
4088660007,,"$105,546",105546,,,,"$105,546","$40,587"
4090790001,,"$24,000",24000,,"$37,200",,"$61,200","$23,450"
4091100039,,"$91,790",91790,,,,"$91,790","$32,799"
4096780155,"$316,849",,"$316,849",,,,"$316,849","$113,101"
4098140026,"$2,135,042",,"$2,135,042",,,,"$2,198,599","$868,246"
4100130019,"$280,919",,"$280,919",,,,"$280,919","$104,723"
4102090014,,"$26,100",26100,,"$55,680",,"$81,780","$57,541"
4102100021,,"$75,803",75803,,"$57,058",,"$132,861","$81,106"
4102100231,,"$55,390",55390,,"$35,340",,"$90,730","$64,470"
5030230028,,"$189,311",189311,,,,"$189,311","$162,373"
5051340011,,"$28,800",28800,"$18,000",,,"$46,800","$29,023"
5052720018,"$57,600",,"$57,600",,,,"$57,600","$17,144"
5052760053,,"$8,900",8900,"$24,000",,,"$32,900","$17,269"
5054080023,,"$15,750",15750,,"$53,195",,"$68,945","$25,000"
5054080023,,"$15,750",15750,,"$53,195",,"$68,945","$25,000"
1003870033,,"$54,000",54000,,,,"$72,350","$19,144"
1004520025,"$30,586","$394,020","$424,606",,"$46,950",,"$474,729","$309,559"
1005720052,,"$401,743",401743,,"$15,500",,"$420,247","$315,200"
1013240038,,"$35,350",35350,"$107,978","$145,077",,"$288,405","$31,277"
1018220018,"$263,976",,"$263,976",,,,"$263,976","$96,686"
2022890002,,"$8,100",8100,,,,"$29,700","$17,354"
2030380052,,"$351,246",351246,,,,"$351,246","$203,424"
