BBL ,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1,Total Expenses
2041630018,$0,"$23,800","$23,800","$21,200","$32,290","$11,000",$0,"$88,290",$0,"$32,941"
2041770035,$0,"$93,600","$93,600",$0,$0,$0,$0,"$93,600","$5,000","$80,700"
2041940006,$0,"$45,000","$45,000",$0,$0,$0,$0,"$45,000","$3,500","$41,350"
2042090037,$0,"$202,217","$202,217",$0,$0,$0,$0,"$202,217",$0,"$142,341"
2042090064,$0,"$127,261","$127,261",$0,$0,$0,$0,"$188,190",$0,"$32,217"
2042260070,$0,"$9,388,037","$9,388,037",$0,$0,$0,$0,"$9,388,037","$1,139,544","$4,064,230"
2044490067,$0,"$21,900","$21,900",$0,"$12,090",$0,$0,"$33,990",$0,"$36,688"
2044490069,$0,"$15,000","$15,000",$0,"$31,500",$0,$0,"$46,500",$0,"$23,651"
2045960001,$0,"$25,680","$25,680",$0,"$24,000",$0,$0,"$53,280",$0,"$47,788"
2046350037,$0,"$187,974","$187,974",$0,$0,$0,$0,"$187,974","$1,359","$130,713"
2048250009,$0,"$6,600","$6,600",$0,"$117,100",$0,$0,"$123,700",$0,"$45,000"
2050200006,$0,"$1,500","$1,500",$0,"$10,800",$0,$0,"$19,500","$3,000","$32,922"
2051070038,$0,"$27,600","$27,600",$0,"$244,094","$40,000",$0,"$311,694",$0,"$215,918"
2053110005,$0,"$18,000","$18,000",$0,"$34,200",$0,$0,"$52,200",$0,"$22,877"
2054190063,$0,"$27,300","$27,300","$55,200",$0,$0,$0,"$82,500",$0,"$30,329"
2054750008,$0,"$28,800","$28,800","$40,800","$7,200",$0,$0,"$76,800",$0,"$18,837"
2055610164,$0,"$14,800","$14,800",$0,"$24,000",$0,$0,"$38,800",$0,"$29,725"
2055950101,$0,"$33,600","$33,600",$0,$0,$0,$0,"$33,600",$0,"$4,851"
2057260670,$0,"$65,769","$65,769","$8,624","$43,490",$0,$0,"$117,883",$0,"$55,319"
2057800940,$0,"$1,376,654","$1,376,654",$0,$0,$0,$0,"$1,397,249",$0,"$761,944"
2058451799,$0,"$1,474,044","$1,474,044",$0,$0,$0,$0,"$1,502,438",$0,"$724,213"
2058512105,$0,"$723,498","$723,498",$0,$0,$0,$0,"$746,149",$0,"$284,016"
3000360016,$0,"$891,808","$891,808","$144,348",$0,$0,$0,"$1,075,516","$2,350","$259,977"
3001450010,$0,"$25,200","$25,200",$0,"$110,442",$0,$0,"$135,642",$0,"$54,162"
3001450013,$0,"$11,400","$11,400",$0,"$40,685",$0,$0,"$52,085",$0,"$25,968"
3001450014,$0,"$15,600","$15,600",$0,"$48,565",$0,$0,"$64,165",$0,"$23,987"
3001450015,$0,"$10,500","$10,500",$0,"$61,079",$0,$0,"$71,579",$0,"$16,396"
3001450022,$0,"$261,600","$261,600",$0,"$160,474",$0,$0,"$422,074",$0,"$132,641"
3001510024,$0,"$37,960","$37,960","$107,626",$0,$0,$0,"$145,586",$0,"$43,396"
3001660023,$0,"$12,300","$12,300","$65,543",$0,$0,$0,"$77,843",$0,"$15,255"
3002240002,$0,"$89,747","$89,747",$0,$0,$0,$0,"$89,747",$0,"$26,255"
3002260022,$0,"$58,548","$58,548",$0,"$35,862",$0,$0,"$101,979",$0,"$21,140"
3002430010,$0,"$86,400","$86,400",$0,"$232,516",$0,$0,"$369,376",$0,"$30,251"
3002470017,$0,"$114,000","$114,000",$0,$0,"$18,000",$0,"$132,000",$0,"$72,206"
3002480028,$0,"$97,815","$97,815",$0,"$158,899",$0,$0,"$256,714",$0,"$55,654"
3002490026,$0,"$105,202","$105,202",$0,"$246,000",$0,$0,"$352,447",$0,"$64,951"
3002490032,$0,"$89,330","$89,330",$0,"$270,409",$0,$0,"$359,739",$51,"$191,656"
3002490035,$0,"$111,410","$111,410",$0,"$211,521",$0,$0,"$346,347",$0,"$49,941"
3002490042,$0,"$51,300","$51,300","$82,080","$156,000",$0,$0,"$289,380",$0,"$113,672"
3002500013,$0,"$90,056","$90,056",$0,"$84,000",$0,$0,"$174,056",$0,"$48,878"
3002610048,$0,"$110,628","$110,628",$0,$0,$0,$0,"$110,628",$0,"$42,579"
3002620034,$0,"$30,000","$30,000",$0,$0,$0,$0,"$30,256",$0,"$50,319"
3002620037,$0,"$93,700","$93,700",$0,$0,$0,$0,"$93,700","$1,118","$27,857"
3002650050,$0,"$305,977","$305,977",$0,"$153,984",$0,$0,"$459,961",$0,"$111,778"
3002670014,$0,"$19,435","$19,435",$0,$0,$0,$0,"$19,435",$0,"$36,573"
3002670044,$0,"$63,960","$63,960",$0,$0,$0,$0,"$63,960","$8,000","$62,735"
3002680009,$0,"$102,716","$102,716",$0,$0,$0,$0,"$102,716",$0,"$32,308"
3002680048,$0,"$39,000","$39,000",$0,"$141,564",$0,$0,"$203,931",$0,"$58,862"
3002680055,$0,"$112,745","$112,745",$0,$0,$0,$0,"$112,745",$0,"$22,288"
3002710020,$0,"$174,880","$174,880","$57,850","$283,181",$0,$0,"$515,911",$0,"$138,276"
3002750027,$0,"$112,500","$112,500",$0,$0,$0,$0,"$112,500",$0,"$32,090"
3002850018,$0,"$93,750","$93,750",$0,"$31,000",$0,$0,"$124,750",$0,"$19,510"
3002850024,$0,"$66,375","$66,375",$0,$0,"$91,000",$0,"$157,375",$0,"$87,464"
3003120034,$0,"$38,988","$38,988",$0,"$94,002",$0,$0,"$132,990",$0,"$25,882"
3003310029,$0,"$91,200","$91,200",$0,$0,$0,$0,"$91,200",$0,"$7,980"
3003370012,$0,"$108,000","$108,000",$0,$0,$0,$0,"$108,000",$0,"$31,137"
3003890005,$0,"$31,056","$31,056",$0,"$15,000",$0,$0,"$46,056",$0,"$83,177"
3003890010,$0,"$31,077","$31,077",$0,$0,$0,$0,"$35,277",$0,"$82,517"
3004020039,$0,"$93,360","$93,360",$0,$0,$0,$0,"$93,360","$21,110","$76,703"
3004490001,$0,"$12,000","$12,000",$0,"$181,417",$0,$0,"$246,543",$0,"$80,312"
3004540013,$0,"$107,043","$107,043","$4,450","$42,972",$0,$0,"$176,781",$0,"$75,203"
3005120034,$0,"$7,200","$7,200",$0,$0,$0,$0,"$7,200",$0,"$19,116"
3006390058,$0,"$59,850","$59,850",$0,$0,$0,$0,"$59,850",$225,"$26,616"
3006550001,$0,"$12,000","$12,000",$0,$0,$0,$0,"$12,000",$0,"$27,915"
3006960013,$0,"$28,800","$28,800",$0,$0,$0,$0,"$28,800",$0,"$10,468"
3007690011,$0,"$281,450","$281,450",$0,$0,$0,$0,"$281,529","$9,724","$380,153"
3008770001,$0,"$50,500","$50,500",$0,$0,$0,$0,"$50,500",$0,"$17,001"
3008780046,$0,"$38,200","$38,200",$0,$0,$0,$0,"$38,200",$0,"$14,597"
3009310019,$0,"$90,868","$90,868",$0,"$108,792",$0,$0,"$199,660",$0,"$28,019"
3009310020,$0,"$59,790","$59,790",$0,"$32,080",$0,$0,"$91,870",$0,"$44,185"
3009310022,$0,"$24,765","$24,765","$40,710",$0,$0,$0,"$196,425",$0,"$18,201"
