BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1,Total Expenses
1020920038,"$214,518.00","$37,301.00","$251,819.00",$0.00,$0.00,$0.00,"$251,819.00",$0.00,"$201,751.00"
2027400039,"$214,240.00",$0.00,"$214,240.00",$0.00,"$29,214.00",$0.00,"$243,454.00",$0.00,"$149,573.00"
1014350029,"$213,858.00",$0.00,"$213,858.00",$0.00,"$98,645.00",$0.00,"$312,503.00",$0.00,"$163,082.00"
4014680058,"$213,794.00",$0.00,"$213,794.00",$0.00,$275.00,$0.00,"$214,169.00","$5,409.00","$151,684.00"
3007490035,"$213,609.00",$0.00,"$213,609.00",$0.00,$0.00,"$141,279.00","$354,888.00",$0.00,"$215,201.00"
4005880014,"$213,421.00","$341,180.00","$554,601.00",$0.00,$0.00,$0.00,"$554,601.00","$21,690.00","$322,246.00"
1021440045,"$213,393.00","$24,000.00","$237,393.00","$35,400.00","$198,606.00",$0.00,"$471,399.00",$0.00,"$295,883.00"
1014350028,"$213,296.00",$0.00,"$213,296.00",$0.00,"$82,077.00",$0.00,"$295,373.00",$0.00,"$161,070.00"
3047170057,"$213,040.00",$0.00,"$213,040.00",$0.00,$0.00,"$14,067.00","$227,107.00",$0.00,"$105,894.00"
1019580015,"$212,981.00",$0.00,"$212,981.00",$0.00,"$27,519.00",$0.00,"$240,500.00",$0.00,"$218,945.00"
1021580077,"$212,910.00",$0.00,"$212,910.00",$0.00,"$48,870.00",$0.00,"$263,828.00",$0.00,"$181,286.00"
3009580039,"$212,877.00",$0.00,"$212,877.00",$0.00,$0.00,$0.00,"$212,877.00",$0.00,"$94,015.00"
3019480065,"$212,775.00","$31,794.00","$244,569.00",$0.00,$0.00,$0.00,"$255,578.00","$4,000.00","$118,399.00"
1021670071,"$212,769.00","$62,737.00","$275,506.00",$0.00,$0.00,"$8,396.00","$283,902.00",$0.00,"$318,060.00"
1004070027,"$212,645.00","$104,736.00","$317,381.00",$0.00,"$82,975.00",$0.00,"$425,504.00","$5,220.00","$146,217.00"
1004070018,"$212,346.00","$551,882.00","$764,228.00",$0.00,"$190,901.00","$2,989.00","$960,746.00","$48,400.00","$357,355.00"
1013410033,"$212,316.00","$333,128.00","$545,444.00",$0.00,"$415,042.00",$0.00,"$962,734.00",$0.00,"$310,835.00"
4006090032,"$212,310.00",$0.00,"$212,310.00",$0.00,$0.00,$0.00,"$212,310.00",$0.00,"$94,502.00"
1012710027,"$212,247.00",$0.00,"$212,247.00",$0.00,$0.00,$0.00,"$212,247.00",$0.00,"$804,237.00"
1018610001,"$212,058.00",$0.00,"$212,058.00",$0.00,"$112,416.00",$0.00,"$324,474.00",$0.00,"$154,478.00"
1015340004,"$212,027.00",$0.00,"$212,027.00",$0.00,"$166,860.00",$0.00,"$378,887.00",$0.00,"$113,630.00"
