BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1,Total Expenses
1006170030,"$12,240","$38,188","$50,428","$39,900",$0,$0,$0,"$90,328",$0,"$36,143"
4008090060,"$12,200",$0,"$12,200",$0,$0,$0,$0,"$12,200",$0,"$153,585"
1007780036,"$12,146","$93,450","$105,596","$10,800","$303,849",$0,$0,"$461,945",$0,"$140,134"
1008670047,"$12,121",$0,"$12,121",$0,$0,$0,$0,"$12,121",$0,"$32,301"
1005510007,"$12,062",$0,"$12,062",$0,$0,"$78,457",$0,"$90,519",$0,"$77,363"
1014670039,"$12,055","$300,881","$312,936",$0,"$36,169",$0,$0,"$349,105",$0,"$112,175"
3042030120,"$12,000",$0,"$12,000",$0,"$24,000",$0,$0,"$36,000",$0,"$4,232"
4011610080,"$12,000",$0,"$12,000",$0,"$90,212",$0,$0,"$113,886",$0,"$21,481"
1007460004,"$11,813","$43,200","$55,013",$0,"$96,000",$0,$0,"$151,013",$0,"$64,995"
2044490067,"$11,800",$0,"$11,800",$0,"$23,630",$0,$0,"$35,430",$0,"$24,553"
1008830056,"$11,775","$57,180","$68,955",$0,"$85,550",$0,$0,"$175,685",$0,"$48,372"
1008190052,"$11,746",$0,"$11,746","$351,919","$163,472",$0,$0,"$548,321","$9,896","$243,707"
1005620013,"$11,628",$0,"$11,628","$49,800",$0,"$66,812",$0,"$182,240",$0,"$68,954"
1001770028,"$11,514",$0,"$11,514",$0,"$105,000",$0,$0,"$121,679",$0,"$77,520"
1010300025,"$11,474","$163,200","$174,674",$0,"$143,200",$0,$0,"$317,874",$0,"$83,366"
3050650065,"$11,461","$81,285","$92,746",$0,$0,$0,$0,"$94,330",$0,"$172,255"
1005250031,"$11,400",$0,"$11,400",$0,$0,"$144,000",$0,"$155,400",$0,"$63,629"
1016250013,"$11,390",$0,"$11,390",$0,"$58,838",$0,$0,"$79,517",$0,"$67,957"
1009120025,"$11,362",$0,"$11,362",$0,$0,$0,$0,"$11,362",$0,"$14,878"
1005210082,"$11,346",$0,"$11,346",$0,$0,$0,$0,"$47,346",$550,"$24,596"
1004660015,"$11,212","$101,500","$112,712",$0,$0,"$50,400",$0,"$163,112",$0,"$51,360"
1002230029,"$11,102",$0,"$11,102","$45,461",$0,$0,$0,"$56,563",$0,"$30,970"
1018830050,"$11,077","$310,568","$321,645",$0,$0,$0,$0,"$321,645",$0,"$148,094"
1004980016,"$11,052",$0,"$11,052","$24,500","$256,050",$0,$0,"$291,602",$0,"$196,485"
1001320022,"$11,039","$149,780","$160,819",$0,$0,$0,$0,"$164,707",$0,"$49,432"
1012010056,"$11,030","$76,517","$87,547",$0,$0,$0,$0,"$87,547",$0,"$45,865"
1013830058,"$10,815",$0,"$10,815","$104,932","$1,259,427",$0,$0,"$1,560,988","$7,658","$236,914"
3003260046,"$10,800","$76,767","$87,567",$0,$0,$0,$0,"$87,567",$0,"$32,808"
4006060001,"$10,800",$0,"$10,800",$0,"$79,200",$0,$0,"$90,000",$0,"$44,304"
