BBL ,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Total Expenses
1012090033,"$4,035,388",$0,"$4,035,388",$0,$0,$0,$0,"$4,083,144","$1,783,242"
3064690001,"$4,000,379","$20,130","$4,020,509","$10,351",$0,$0,"$1,017,723","$5,292,778","$2,521,068"
4051370012,"$3,959,483",$0,"$3,959,483",$0,$0,$0,"$38,582","$4,151,860","$2,070,970"
4014900018,"$3,933,864","$1,224,499","$5,158,363","$97,244",$0,$0,"$66,320","$5,462,466","$2,688,523"
1012370033,"$3,920,125",$0,"$3,920,125",$0,"$357,811",$0,$0,"$4,357,118","$1,879,413"
4051370084,"$3,903,507",$0,"$3,903,507","$46,150",$0,$0,"$61,700","$4,190,978","$2,118,999"
2023380003,"$3,856,641",$0,"$3,856,641",$0,"$936,558",$0,"$2,275,630","$7,485,106","$7,249,861"
3070460001,"$3,815,229",$0,"$3,815,229",$0,$0,$0,$0,"$3,815,229","$1,112,346"
1009020049,"$3,785,738",$0,"$3,785,738",$0,$0,$0,$0,"$3,892,497","$1,077,203"
1009430052,"$3,762,499",$0,"$3,762,499","$90,165",$0,$0,$0,"$3,868,815","$1,421,464"
2025260090,"$3,737,911",$0,"$3,737,911",$0,$0,$0,"$917,985","$5,200,865","$3,398,645"
1010340022,"$3,735,434",$0,"$3,735,434",$0,$0,"$18,900",$0,"$4,710,829","$2,104,606"
1014470023,"$3,712,643",$0,"$3,712,643",$0,"$645,170",$0,$0,"$4,521,033","$1,899,933"
5039830001,"$3,685,011",$0,"$3,685,011",$0,$0,$0,"$670,970","$4,571,154","$2,449,118"
1011680010,"$3,556,456",$0,"$3,556,456",$0,"$1,381,752",$0,$0,"$5,070,255","$1,904,942"
1008190059,"$3,511,178",$0,"$3,511,178",$0,"$223,092",$0,$0,"$3,888,910","$872,204"
2045060001,"$3,478,689",$0,"$3,478,689",$0,$0,$0,$0,"$3,478,689","$1,698,461"
4097190002,"$3,445,621","$785,198","$4,230,819","$34,459",$0,$0,$0,"$4,437,971","$2,320,321"
2041610001,"$3,431,611",$0,"$3,431,611",$0,$0,$0,"$149,245","$3,971,788","$2,483,172"
1010450029,"$3,423,178","$3,562,900","$6,986,078",$0,"$1,721,728",$0,"$46,805","$9,234,622","$2,980,544"
2036420001,"$3,400,608",$0,"$3,400,608",$0,"$33,039",$0,"$341,258","$3,867,480","$3,247,177"
3064680016,"$3,400,287","$39,690","$3,439,977",$0,$0,$0,"$112,981","$3,760,116","$1,762,101"
1005570017,"$3,391,895",$0,"$3,391,895",$0,"$688,489",$0,$0,"$4,124,634","$1,770,466"
1009000027,"$3,383,586","$2,999,578","$6,383,164",$0,"$343,655",$0,"$23,359","$7,385,677","$2,518,190"
1009340020,"$3,375,624",$0,"$3,375,624","$640,214",$0,$0,$0,"$4,033,277","$1,321,020"
2026100012,"$3,372,218",$0,"$3,372,218",$0,$0,$0,$0,"$3,376,841","$3,401,136"
3060830001,"$3,346,954",$0,"$3,346,954",$0,$0,$0,$0,"$3,444,276","$1,337,767"
1014180021,"$3,342,432","$14,181,195","$17,523,627",$0,"$1,777,582",$0,$0,"$20,329,944","$5,959,922"
2045060040,"$3,342,269",$0,"$3,342,269",$0,$0,$0,$0,"$3,342,269","$1,632,347"
4097120102,"$3,314,484",$0,"$3,314,484",$0,$0,"$9,970",$414,"$3,403,000","$1,757,822"
4105900100,"$3,297,828",$0,"$3,297,828",$0,$0,$0,"$153,360","$3,589,852","$2,011,639"
1005850001,"$3,257,762",$0,"$3,257,762",$0,"$413,848",$0,$0,"$3,794,484","$890,814"
1011500041,"$3,253,306",$0,"$3,253,306",$0,$0,$0,$0,"$3,265,123","$1,123,127"
4096310241,"$3,232,251",$0,"$3,232,251","$1,075,983",$0,$0,$0,"$4,440,159","$2,191,165"
1011990029,"$3,227,068",$0,"$3,227,068",$0,$0,$0,$0,"$3,256,549","$1,594,326"
2043470007,"$3,205,804",$0,"$3,205,804",$0,$0,$0,$0,"$3,315,924","$2,165,948"
4004140041,"$3,202,440",$0,"$3,202,440",$0,"$21,414",$0,$0,"$3,320,270","$1,204,149"
1012260001,"$3,159,913",$0,"$3,159,913",$0,"$449,385",$0,"$140,016","$4,464,514","$2,203,918"
3018740001,"$3,157,611",$0,"$3,157,611",$0,"$499,153",$0,$0,"$3,758,026","$830,918"
1012210001,"$3,125,843",$0,"$3,125,843",$0,"$321,124",$0,"$2,097,047","$6,068,519","$2,387,968"
4161770035,"$3,115,340",$0,"$3,115,340",$0,"$65,010",$0,$0,"$3,321,028","$1,138,327"
1010450012,"$3,114,967",$0,"$3,114,967",$0,$0,$0,$0,"$3,145,660","$632,700"
4032340051,"$3,114,839",$0,"$3,114,839",$0,$0,$0,"$50,842","$3,292,773","$1,771,292"
4051460036,"$3,060,299",$0,"$3,060,299",$0,$0,$0,$0,"$3,194,466","$1,746,005"
2036820001,"$3,057,740",$0,"$3,057,740","$49,978",$0,$0,$0,"$3,197,919","$2,624,793"
1014590010,"$3,049,248","$63,779","$3,113,027",$0,$0,$0,"$21,150","$3,162,107","$1,971,841"
1018320016,"$3,039,780",$0,"$3,039,780",$0,$0,$0,$0,"$3,056,484","$1,325,551"
1012080001,"$3,023,650",$0,"$3,023,650",$0,"$491,482",$0,"$24,339","$4,192,818","$2,484,294"
1008960048,"$3,011,171","$1,879,788","$4,890,959",$0,"$781,183",$0,"$16,945","$5,844,714","$2,289,432"
4014910021,"$3,010,640","$777,596","$3,788,236",$0,$0,$0,"$29,992","$3,950,150","$2,225,631"
3011560080,"$3,007,374",$0,"$3,007,374",$0,$0,$0,$0,"$3,007,374","$973,575"
1005330001,"$3,001,721",$0,"$3,001,721","$410,975",$0,"$15,158,989",$0,"$24,522,863","$9,071,637"
4019180107,"$2,975,391",$0,"$2,975,391",$0,$0,$0,"$51,923","$3,161,188","$2,068,228"
4019180085,"$2,959,964",$0,"$2,959,964",$0,$0,$0,"$19,220","$3,066,253","$1,955,572"
4019180110,"$2,957,358",$0,"$2,957,358",$0,"$12,000",$0,"$33,683","$3,150,550","$2,215,739"
4019180075,"$2,950,575",$0,"$2,950,575",$0,$0,$0,"$27,492","$3,114,628","$2,106,029"
1010410019,"$2,950,449",$0,"$2,950,449",$0,"$227,558",$0,$0,"$3,669,981","$747,527"
