BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1, Total Expenses 
1004450052,"$72,433","$379,300","$451,733","$27,450",$0,$0,$0,"$479,183",$0," $ 108,048 "
1014510030,"$72,393","$127,400","$199,793",$0,"$216,540",$0,$0,"$416,333",$0," $ 30,421 "
3024370035,"$72,350",$0,"$72,350",$0,$0,$0,"$1,492","$75,596",$0," $ 60,868 "
1015290034,"$72,225","$45,468","$117,693",$0,$0,$0,$0,"$117,693",$0," $ 86,891 "
1019620070,"$72,192","$1,713,765","$1,785,957",$0,"$209,937","$18,453",$0,"$2,046,350",$0," $ 1,192,246 "
1014510006,"$72,183","$211,797","$283,980",$0,$0,$0,$0,"$283,980","$3,355"," $ 76,374 "
1008940079,"$72,108","$113,704","$185,812",$0,"$42,687",$0,$0,"$228,499",$0," $ 68,399 "
1008640030,"$72,084",$0,"$72,084",$0,"$79,183",$0,$0,"$151,267",$0," $ 54,877 "
1020650061,"$72,068",$0,"$72,068",$0,$0,$0,$0,"$72,293",$0," $ 42,308 "
1014000056,"$72,028",$0,"$72,028",$0,"$117,500",$0,$0,"$197,704","$21,001"," $ 71,371 "
3053500018,"$72,006","$7,992","$79,998",$0,"$4,000",$0,$0,"$83,998",$0," $ 66,646 "
1000300033,"$72,000",$0,"$72,000",$0,"$61,800",$0,$0,"$133,800",$0," $ 46,491 "
1014430024,"$71,940","$87,005","$158,945",$0,"$171,100",$0,$0,"$330,045",$0," $ 201,970 "
1015100044,"$71,882","$231,799","$303,681",$0,"$138,315",$0,$0,"$447,795",$0," $ 90,403 "
1012140059,"$71,772","$350,966","$422,738",$0,$0,$0,$0,"$424,093",$0," $ 167,179 "
1006270013,"$71,759","$182,851","$254,610",$0,"$269,910",$0,$0,"$524,520","$10,786"," $ 98,579 "
3004410007,"$71,756",$0,"$71,756",$0,"$12,780",$0,$0,"$84,536",$0," $ 26,216 "
1004510051,"$71,674","$31,200","$102,874",$0,"$61,090",$0,$0,"$163,964",$0," $ 42,907 "
